scientific_name,sra_accession,mag_file,tax_id,mag_name
uncultured Novosphingobium sp.,ERS6626965,uncultured_Novosphingobium_sp._ERS6626965.fasta,292277,uncultured_Novosphingobium_sp._ERS6626965
uncultured Sphingomonas sp.,ERS6626834,uncultured_Sphingomonas_sp._ERS6626834.fasta,158754,uncultured_Sphingomonas_sp._ERS6626834
uncultured Aureimonas sp.,ERS6626915,uncultured_Aureimonas_sp._ERS6626915.fasta,1604662,uncultured_Aureimonas_sp._ERS6626915
uncultured Novosphingobium sp.,ERS6626979,uncultured_Novosphingobium_sp._ERS6626979.fasta,292277,uncultured_Novosphingobium_sp._ERS6626979
uncultured Curtobacterium sp.,ERS6626914,uncultured_Curtobacterium_sp._ERS6626914.fasta,331964,uncultured_Curtobacterium_sp._ERS6626914
uncultured Agrobacterium sp.,ERS6626932,uncultured_Agrobacterium_sp._ERS6626932.fasta,157277,uncultured_Agrobacterium_sp._ERS6626932
uncultured Herbaspirillum sp.,ERS6627309,uncultured_Herbaspirillum_sp._ERS6627309.fasta,160236,uncultured_Herbaspirillum_sp._ERS6627309
uncultured Acidovorax sp.,ERS6626991,uncultured_Acidovorax_sp._ERS6626991.fasta,158751,uncultured_Acidovorax_sp._ERS6626991
uncultured Acidovorax sp.,ERS6626883,uncultured_Acidovorax_sp._ERS6626883.fasta,158751,uncultured_Acidovorax_sp._ERS6626883
uncultured Xanthomonas sp.,ERS6626943,uncultured_Xanthomonas_sp._ERS6626943.fasta,152831,uncultured_Xanthomonas_sp._ERS6626943
uncultured Xylophilus sp.,ERS6627302,uncultured_Xylophilus_sp._ERS6627302.fasta,296832,uncultured_Xylophilus_sp._ERS6627302
uncultured Agrobacterium sp.,ERS6627268,uncultured_Agrobacterium_sp._ERS6627268.fasta,157277,uncultured_Agrobacterium_sp._ERS6627268
uncultured Pseudomonas sp.,ERS6626978,uncultured_Pseudomonas_sp._ERS6626978.fasta,114707,uncultured_Pseudomonas_sp._ERS6626978
uncultured Chryseobacterium sp.,ERS6627325,uncultured_Chryseobacterium_sp._ERS6627325.fasta,259322,uncultured_Chryseobacterium_sp._ERS6627325
uncultured Sphingomonas sp.,ERS6627263,uncultured_Sphingomonas_sp._ERS6627263.fasta,158754,uncultured_Sphingomonas_sp._ERS6627263
uncultured Curtobacterium sp.,ERS6626839,uncultured_Curtobacterium_sp._ERS6626839.fasta,331964,uncultured_Curtobacterium_sp._ERS6626839
uncultured Novosphingobium sp.,ERS6626901,uncultured_Novosphingobium_sp._ERS6626901.fasta,292277,uncultured_Novosphingobium_sp._ERS6626901
Burkholderiaceae bacterium,ERS6626861,Burkholderiaceae_bacterium_ERS6626861.fasta,2030806,Burkholderiaceae_bacterium_ERS6626861
uncultured Chryseobacterium sp.,ERS6627267,uncultured_Chryseobacterium_sp._ERS6627267.fasta,259322,uncultured_Chryseobacterium_sp._ERS6627267
uncultured Pseudacidovorax sp.,ERS6627321,uncultured_Pseudacidovorax_sp._ERS6627321.fasta,679313,uncultured_Pseudacidovorax_sp._ERS6627321
uncultured Comamonas sp.,ERS6626814,uncultured_Comamonas_sp._ERS6626814.fasta,114710,uncultured_Comamonas_sp._ERS6626814
